"NUTS_ID","area_m2","area_km2"
"TRB1",37369285493.4513,37369.2854934513
"TRB2",44242812333.2292,44242.8123332292
"TRC1",15511080503.4715,15511.0805034715
"TRC2",34671515882.8108,34671.5158828108
"UKI7",457937866.070664,457.937866070664
"UKJ1",5823262794.9807,5823.2627949807
"UKJ2",5541998862.30111,5541.99886230111
"UKJ3",3940442941.39828,3940.44294139828
"UKJ4",3682363254.67334,3682.36325467334
"UKK1",7369218008.91014,7369.21800891014
"UKK2",6299346716.90613,6299.34671690613
"UKK3",3576286967.21503,3576.28696721504
"UKK4",6677360534.57316,6677.36053457316
"EL61",14127086906.5786,14127.0869065786
"EL62",2160101024.38797,2160.10102438797
"EL63",11129111904.667,11129.111904667
"EL64",15978432333.7523,15978.4323337523
"EL65",15304606607.9669,15304.6066079669
"ES11",29348895211.9838,29348.8952119838
"ES12",10583484531.7078,10583.4845317078
"ES13",5449576980.00277,5449.57698000277
"ES21",6967418432.62213,6967.41843262213
"ES22",10339515070.0299,10339.5150700299
"ES23",5025731234.84489,5025.73123484489
"ES24",47904455055.5849,47904.4550555849
"ES30",7891927667.28678,7891.92766728678
"ES41",94470266264.8967,94470.2662648967
"ES42",79469359687.5514,79469.3596875514
"ES43",41799929475.3414,41799.9294753414
"SE12",43645993695.2599,43645.9936952599
"SE21",36358715161.076,36358.715161076
"SE22",14403957743.2833,14403.9577432833
"SE23",35022611189.5251,35022.6111895251
"SE31",72257992417.2168,72257.9924172168
"HU23",14047533302.275,14047.533302275
"HU31",13287362173.6074,13287.3621736074
"HU32",17714134525.7439,17714.1345257439
"HU33",18553545754.8337,18553.5457548337
"IE04",25691601540.051,25691.601540051
"IE05",29503272819.6102,29503.2728196102
"IE06",14422094587.9177,14422.0945879177
"IS00",102324965158.299,102324.965158299
"ITC1",25505671271.1853,25505.6712711853
"ITC2",3170590674.30649,3170.59067430649
"ITC3",5421771759.11493,5421.77175911493
"ITC4",23896511808.4396,23896.5118084396
"ITF1",10960569924.0866,10960.5699240866
"ITF2",4510920776.28755,4510.92077628755
"ITF3",13649560008.055,13649.560008055
"ITF4",19391002153.0288,19391.0021530288
"ITF5",10118089260.3857,10118.0892603857
"ES53",5064176489.38761,5064.17648938761
"ES61",87729072713.2325,87729.0727132325
"ES62",11256501057.8299,11256.5010578299
"ES63",9646894.76736855,9.64689476736855
"ES64",7878239.99763959,7.87823999763958
"ES70",7398058506.53636,7398.05850653636
"FI19",65141457944.5591,65141.4579445591
"FI1B",10045141031.4083,10045.1410314083
"FI1C",35197302830.1602,35197.3028301602
"FI1D",226881639602.423,226881.639602423
"FI20",1305786436.03543,1305.78643603543
"FR10",12267446887.6308,12267.4468876308
"PL71",18184221991.3805,18184.2219913805
"PL72",11800190392.9787,11800.1903929787
"PL81",25083678684.8569,25083.6786848569
"PL82",17935726381.2983,17935.7263812983
"PL84",20340690197.3359,20340.6901973359
"PL91",6020366922.62019,6020.36692262019
"PL92",29387213032.5497,29387.2130325497
"PT11",21328753292.2121,21328.7532922121
"PT15",5047529930.61726,5047.52993061726
"DE258",295710639.794278,295.710639794278
"DE259",808512224.416594,808.512224416594
"DE25A",1279810981.47386,1279.81098147386
"DE25B",935591070.816441,935.591070816441
"DE25C",917730607.58071,917.73060758071
"DE261",42584256.6119858,42.5842566119858
"UKL2",7847633409.34159,7847.63340934159
"UKM5",6451266843.69223,6451.26684369223
"UKM6",41912278092.1969,41912.2780921969
"UKM7",13182226936.8009,13182.2269368009
"UKM8",1925802740.73955,1925.80274073955
"UKM9",15660017987.4031,15660.0179874031
"TRC3",25748911506.9706,25748.9115069706
"UKC1",2984371908.01988,2984.37190801988
"UKC2",5563145126.44684,5563.14512644684
"UKD1",6848171850.1049,6848.1718501049
"UKD3",1233486322.33786,1233.48632233786
"UKD4",3106225804.44468,3106.22580444468
"UKD6",2320405445.53471,2320.40544553471
"UKD7",676181931.597653,676.181931597653
"UKE1",3592914858.98983,3592.91485898983
"UKE2",8445621295.3788,8445.6212953788
